text,aspect,sentiment
Liberty-AD-HAFTshowed significant improvement in moderate-to-severe atopic hand and foot #dermatitis. #pharma #pharmaceutical #healthcare #globalhealth #news #media #aad23 #aad #conferences #dermatology #atopicdermatitis #skincare #skin,Liberty-AD-HAFT,neutral
"hearing a lot about the leap trial at #aad2023. however, with no active comparator, we won't know if trifarotene is any more effective for acne associated pigmentation than any other topical retinoid (though more expensive/irritating). missed opportunity. ",LEAP,neutral
"dr. nicholas gulati presented a Liberty-AD-HAFT , no association with cancer development in atopic dermatitis patients at #aad2023 ",Liberty-AD-HAFT,neutral
#press leo pharma presents pivotal phase 3 DELTA 1 data for #chronichandeczema that met all primary and key secondary endpoints in #aad2023 late-breaker. read more: #leopharma #dermatologybeyondtheskin ,DELTA 1,neutral
new AIMM data presented during a late-breaking research session at #aad2023 supports a switching strategy when #psoriasis medications result in a suboptimal response. ,AIMM,neutral
"at #aad2023, we re presenting late-breaking positive results from a phase 3 trial, Liberty-AD-HAFT in adults and adolescents with #atopicdermatitis of the hands and feet, a particularly difficult-to-treat form of the disease. ",Liberty-AD-HAFT,neutral
"berdamizer gel 10.3% is both safe and effective in treating #molluscumcontagiosum, according to a poster presentation from #aad2023. ",berdamizer,positive
"dermis-1 and dermis-2 trials on effect of roflumilast cream vs vehicle cream on chronic plaque psoriasis, from jama, free to read online during #aad2023 ",dermis-2,neutral
"dermis-1 and dermis-2 trials on effect of roflumilast cream vs vehicle cream on chronic plaque psoriasis, from jama, free to read online during #aad2023 ",dermis-1,neutral
"dermis-1 and dermis-2 trials on effect of roflumilast cream vs vehicle cream on chronic plaque psoriasis, from jama, free to read online during #aad2023 ",roflumilast,neutral
"icymi over the weekend, a look at the data that led to $tak's $4b deal with last year. takeda, chasing bristol myers, unveils awaited tyk2 drug data $bmy $vtyx $dice #aad2023",tyk2,neutral
#aad2023 - #abbvie presented efficacy AIMM data of skyrizi in patients with inadequate response to cosentyx and taltz. #pharma #pharmaceutical #healthcare #globalhealth #patientcare #news #media #medicine #digitalhealth #publichealth #aad23 #aad #conferences,AIMM,neutral
#aad2023 - #abbvie presented efficacy AIMM data of skyrizi in patients with inadequate response to cosentyx and taltz. #pharma #pharmaceutical #healthcare #globalhealth #patientcare #news #media #medicine #digitalhealth #publichealth #aad23 #aad #conferences,skyrizi,neutral
"#sunpharma concert pharmaceuticals, a company recently acquired by sun pharmaceutical industries ltd announced late-breaking phase 3 data at aad 2023 show oral investigational medicine deuruxolitinib significantly improved scalp hair regrowth in alopecia areata ",deuruxolitinib,positive
#press leo pharma releases late-breaking data of NCT04922021 exploring the safety and efficacy of a phase 2a study in adult patients with #atopicdermatitis at #aad2023. read more: #leopharma #dermatologybeyondtheskin ,NCT04922021,Neutral
"$tak isn t saying yet which dose(s) it ll take into phase 3 (or giving any other details about trial design), but seems likely to be the higher one(s), given that humira always showed improved efficacy over sotyktu #aad2023 ",humira,positive
"$tak isn t saying yet which dose(s) it ll take into phase 3 (or giving any other details about trial design), but seems likely to be the higher one(s), given that humira always showed improved efficacy over sotyktu #aad2023 ",sotyktu,negative
#press leo pharma announces new #atopicdermatitis data of NCT04922021 in adolescent population at #aad2023 read more: ,NCT04922021,Neutral
#press leo pharma announces new #atopicdermatitis data of NCT04922021 in adolescent population at #aad2023. read more: #leopharma #dermatologybeyondtheskin ,NCT04922021,Neutral
"bimekizumab reduced the abscess and inflammatory nodule count better than placebo in patients with #hidradenitissuppurativa, according to a late-breaking session at #aad2023. ",bimekizumab,positive
#aad2023 - #ucb presented positive results from two phase 3 studies evaluating bimekizumab efficacy and safety in treating moderate to severe #hidradenitissuppurativa (hs) in adults. #pharma #pharmaceutical #healthcare #dermatology #aad23 news media,bimekizumab,neutral
". s fast-growing #psoriasis drug skyrizi works when rivals like novartis cosentyx and lilly s taltz don t work, according to new data at #aad23 ",skyrizi,positive
". s fast-growing #psoriasis drug skyrizi works when rivals like novartis cosentyx and lilly s taltz don t work, according to new data at #aad23 ",cosentyx,negative
". s fast-growing #psoriasis drug skyrizi works when rivals like novartis cosentyx and lilly s taltz don t work, according to new data at #aad23 ",taltz,negative
#aad2023 - #ucb presented significant clinical benefits in hs patients with bimekizumab. #pharma #pharmaceutical #healthcare #globalhealth #patientcare #news #media #medicine #digitalhealth #publichealth #aad23 #aad #conferences,bimekizumab,positive
we are looking forward to bringing exciting new insights in the field of dermatology to you at the 2023 aad annual meeting. stay tuned to discover what we have coming up next for OLYMPIA 2 ! #advancingdermatology #aad2023 #sciencebygalderma ,OLYMPIA 2,Neutral
"at #aad2023, we re presenting late-breaking phase 3 Liberty-AD-HAFT data from a clinical trial in patients with #atopicdermatitis of the hands and feet. read more: ",Liberty-AD-HAFT,Neutral
at #aad2023 we are presenting the study ALLEGRO-2b/3 which is our latest data in #alopeciaareata (aa). stop by our oral presentation to hear about new data for an investigational oral jak/tec family kinase inhibitor in patients with aa. #pfizermedical,ALLEGRO-2b/3,neutral
"#news: today, we shared new data from the integument-1 and integument-2 phase 3 #clinicaltrials evaluating our steroid-free, topical cream in adults and children with mild to moderate #atopicdermatitis. full results will be presented at #aad2023. ",integument ii,neutral
"#news: today, we shared new data from the integument-1 and integument-2 phase 3 #clinicaltrials evaluating our steroid-free, topical cream in adults and children with mild to moderate #atopicdermatitis. full results will be presented at #aad2023. ",integument i,neutral
"this is NCT04999839 what $tak is saying about adverse events with tak-279: 53-62% ae rate vs 44% with placebo. most common aes were covid, acne, acneiform dermatitis and diarrhoea. 2 serious aes in 1 pt in the 15mg group, deemed unrelated to tak-279 #aad2023",tak-279,negative
"this is NCT04999839 what $tak is saying about adverse events with tak-279: 53-62% ae rate vs 44% with placebo. most common aes were covid, acne, acneiform dermatitis and diarrhoea. 2 serious aes in 1 pt in the 15mg group, deemed unrelated to tak-279 #aad2023",NCT04999839,negative
"more than a quarter of true-ad1 and tru-ad2 study participants felt their #vitiligo had become less noticeable after using #ruxolitinib cream, according to a poster presentation from #aad2023. ",true-ad1,positive
"more than a quarter of true-ad1 and tru-ad2 study participants felt their #vitiligo had become less noticeable after using #ruxolitinib cream, according to a poster presentation from #aad2023. ",true-ad2,positive
"more than a quarter of true-ad1 and tru-ad2 study participants felt their #vitiligo had become less noticeable after using #ruxolitinib cream, according to a poster presentation from #aad2023. ",ruxolitinib,positive
"lawrence f. eichenfield, md of &amp; spoke at #aad2023 about the integument-1 and integument-2 studies on roflumilast for atopic dermatitis. check out this interview segment here: #eczema #roflumilast #aad23",integument ii,neutral
"lawrence f. eichenfield, md of &amp; spoke at #aad2023 about the integument-1 and integument-2 studies on roflumilast for atopic dermatitis. check out this interview segment here: #eczema #roflumilast #aad23",integument i,neutral
"attending #aad2023? supplement your schedule with efficacy and safety of dupilumab in patients with erythrodermic atopic dermatitis: a post hoc analysis of 6 randomized clinical trials, from . free to read online during the meeting ",dupilumab,neutral
"a new study presented by eric lawrence simpson, md, faad showed dupilumab significantly improved signs and symptoms in patients with hand and foot atopic dermatitis. learn more from the #aadlatebreaker presented today: #aad2023",dupilumab,neutral
from #aad2023 this morning: ruxolitinib cream maintains its facial repigmentation efficacy over 2 years in patients with #vitiligo. read here: ,ruxolitinib,neutral
"today, at the 2023 american academy of dermatology annual meeting, we presented the latest positive results from our phase iii trial OLYMPIA in #prurigonodularis in the late-breaking session. find out more about our results and extensive presence at #aad here ",OLYMPIA,neutral
it's great to see this reassuring data on the safety of dupilumab - long term follow up is needed for all of these novel therapies though! #aad2023 ,dupilumab,positive
the #aad2023 annual meeting kicks off today! view our eposters with insights from the komfort trial of our investigational therapy oral difelikefalin for the treatment of moderate-to-severe #pruritus in patients with #notalgiaparesthetica: #dermatology ,komfort,neutral
"tune in to this interview as dr john harris ( ) discusses the treatment of ruxolitinib cream for #vitiligo, which he presented at the 2023 conference. #aad watch now! ",ruxolitinib,neutral
"in data presented at #aad2023, patients with atopic dermatitis treated with cbp-201 at 16 weeks achieved more significant improvements in iga, easi-75, easi-90, and pp-nrs, than with placebo. read more on the data here: #aad23 #eczema",cbp-201,neutral
roflumilast 0.15% once-daily was found to be effective at improving #atopicdermatitis across multiple efficacy endpoints and produced favorable safety &amp; tolerability. check out the data here: #aad23 roflumilast1 #aad2023,roflumilast,positive
roflumilast 0.15% once-daily was found to be effective at improving #atopicdermatitis across multiple efficacy endpoints and produced favorable safety &amp; tolerability. check out the data here: #aad23 roflumilast1 #aad2023,roflumilast1,positive
leo pharma presents late-breaking positive phase 3 results of delgocitinib cream in adults with moderate to severe chronic hand eczema (che) at aad 2023 ,delgocitinib,positive
"spherix s dermatology franchise leader gianna melendez speaks with at the 2023 aad annual meeting, announcing positive news on the phase 3 data from the olympia 2 study on nemolizumab monotherapy for the treatment of pn #prurigo in #primetime ",olympia 2,positive
"spherix s dermatology franchise leader gianna melendez speaks with at the 2023 aad annual meeting, announcing positive news on the phase 3 data from the olympia 2 study on nemolizumab monotherapy for the treatment of pn #prurigo in #primetime ",nemolizumab,positive
new phase 3 data: delgocitinib achieves significant chronic hand eczema improvement at 16 weeks. #aad2023 #aad23 ,delgocitinib,positive
new ruxolitinib #vitiligo extension data presented by at #aad23: maintained facial repigmentation post-relapse re-initiation efficacy no serious teaes read here: ,ruxolitinib,positive
"adhere trial on efficacy and safety of lebrikizumab in combination with topical corticosteroids in adolescents and adults with moderate-to-severe atopic dermatitis, from , free to read online during #aad2023 ",adhere,negative
"adhere trial on efficacy and safety of lebrikizumab in combination with topical corticosteroids in adolescents and adults with moderate-to-severe atopic dermatitis, from , free to read online during #aad2023 ",lebrikizumab,negative
"dermis-1 and dermis-2 trials on effect of roflumilast cream vs vehicle cream on chronic plaque psoriasis, from , free to read online during #aad2023 ",dermis-2,neutral
"dermis-1 and dermis-2 trials on effect of roflumilast cream vs vehicle cream on chronic plaque psoriasis, from , free to read online during #aad2023 ",dermis-1,neutral
#news from VOYAGE 2 : our latest research at #aad2023 provides insight into the treatment of scalp #psoriasis and long-term disease control. learn more: ,VOYAGE 2,positive
"new late-breaking #aad23 data showed that oral roflumilast was both safe &amp; efficacious against #psoriasis, making it a potentially less expensive treatment alternative. check out the trial results here: #plaquepsoriasis #aad2023",roflumilast,positive
"visible is focused on answering data gaps in people of color with #psoriasis. lead investigator andrew f. alexis, m.d., hopes the study will generate data to address care gaps &amp; inform future best practices in diversity research in dermatology. ",visible,neutral
"john e. harris, m.d., ph.d., of med school in worcester, massachusetts, and director of a vitiligo clinic and research center there, discusses some of the insurance issues regarding opzelura  cream true ad1 true ad2 . ",true ad1,negative
"john e. harris, m.d., ph.d., of med school in worcester, massachusetts, and director of a vitiligo clinic and research center there, discusses some of the insurance issues regarding opzelura  cream true ad1 true ad2 . ",true ad2,negative
"john e. harris, m.d., ph.d., of med school in worcester, massachusetts, and director of a vitiligo clinic and research center there, discusses some of the insurance issues regarding opzelura  cream true ad1 true ad2 . ",opzelura,negative
for media: new late breaking BE HEARD I BE HEARD II phase 3 data in #hidradenitissuppurativa presented at #aad 2023. click here to learn more: ,BE HEARD I,neutral
for media: new late breaking BE HEARD I BE HEARD II phase 3 data in #hidradenitissuppurativa presented at #aad 2023. click here to learn more: ,BE HEARD II,neutral
 thanks for the view. was bimekizumab data lackluster vs ph2? modestly better than coseyntx ph3? any concern on candidiasis?,bimekizumab,neutral
"an insightful interview at #aad2023 with on new, late-breaking data regarding OLYMPIA 2 monotherapy for prurigo nodularis. check out the interview here: #prurigonodularis #dermatology #aad23",OLYMPIA 2,neutral
ruxolitinib cream showed disease maintenance and symptom control with as-needed use over a 44-week period in adolescents and adults with atopic dermatitis. learn how the true ad1 and true ad2 study was conducted from this #aad2023 poster session: ,true ad1,positive
ruxolitinib cream showed disease maintenance and symptom control with as-needed use over a 44-week period in adolescents and adults with atopic dermatitis. learn how the true ad1 and true ad2 study was conducted from this #aad2023 poster session: ,true ad2,positive
ruxolitinib cream showed disease maintenance and symptom control with as-needed use over a 44-week period in adolescents and adults with atopic dermatitis. learn how the true ad1 and true ad2 study was conducted from this #aad2023 poster session: ,ruxolitinib,positive
"new data presented at #aad2023 indicates that patients with #psoriasis who were not responding to ixekizumab or secukinumab responded well to risankizumab, an interleukin-23 inhibitor. check out the data here: #aad23 #dermatology #plaquepsoriasis",ixekizumab,negative
"new data presented at #aad2023 indicates that patients with #psoriasis who were not responding to ixekizumab or secukinumab responded well to risankizumab, an interleukin-23 inhibitor. check out the data here: #aad23 #dermatology #plaquepsoriasis",secukinumab,negative
"new data presented at #aad2023 indicates that patients with #psoriasis who were not responding to ixekizumab or secukinumab responded well to risankizumab, an interleukin-23 inhibitor. check out the data here: #aad23 #dermatology #plaquepsoriasis",risankizumab,negative
"attending #aad2023? supplement your schedule with efficacy and safety of dupilumab in patients with erythrodermic atopic dermatitis: a post hoc analysis of 6 randomized clinical trials, from jama dermatology. free to read online during the meeting ",dupilumab,neutral
"we are committed to advancing dermatology for every skin story! learn more about the results of OLYMPIA 2 our efforts to reduce the burden of #prurigonodularis, a rare skin condition, here #advancingdermatology #aad2023 #sciencebygalderma ",OLYMPIA 2,neutral
Liberty-AD-HAFT:  dupilumab late-breaking data at aad show significant improvements in signs and symptoms of moderate-to-severe atopic hand and foot dermatitis - than twice as many patients on dupixent achieved clear or almost clear skin compared to placebo a... ,Liberty-AD-HAFT,positive
Liberty-AD-HAFT:  dupilumab late-breaking data at aad show significant improvements in signs and symptoms of moderate-to-severe atopic hand and foot dermatitis - than twice as many patients on dupixent achieved clear or almost clear skin compared to placebo a... ,dupilumab,positive
aad 2023: late-breaking phase iii results demonstrate nemolizumab s significant impact on prurigo nodularis ,nemolizumab,neutral
"hand and foot dermatitis can be so challenging to treat, and often refractory to our available therapies. it's great to see data on the use of #biologics such as dupilumab ! #aad2023 #aad23 ",Liberty-AD-HAFT,neutral
"hand and foot dermatitis can be so challenging to treat, and often refractory to our available therapies. it's great to see data on the use of #biologics such as dupilumab ! #aad2023 #aad23 ",dupilumab,neutral
late-breaking phase 3 OLYMPIA 2 data presented at #aad23 on nemolizumab monotherapy indicates substantial improvement in key primary &amp; secondary endpoints for #prurigonodularis patients. check out the data here: #dermatology #pn #aad2023,OLYMPIA 2,positive
late-breaking phase 3 OLYMPIA 2 data presented at #aad23 on nemolizumab monotherapy indicates substantial improvement in key primary &amp; secondary endpoints for #prurigonodularis patients. check out the data here: #dermatology #pn #aad2023,nemolizumab,positive
"a symposium at the 2023 annual meeting convened speakers who presented current True-V data on the use of janus kinase (jak) inhibitors in dermatology, including in #atopicdermatitis and #vitiligo. #aad read now! ",True-V,neutral
"late-breaking phase 3  thrive-aa2 data at aad 2023 show oral investigational medicine deuruxolitinib significantly improved scalp hair regrowth in alopecia areata.
#latebreaking #phase03data #aad2023 #oralinvestigationalmedicine #deuruxolitinib #improved #scalphair #regrowth #alopeciaareata ",thrive-aa2,positive
"late-breaking phase 3  thrive-aa2 data at aad 2023 show oral investigational medicine deuruxolitinib significantly improved scalp hair regrowth in alopecia areata.
#latebreaking #phase03data #aad2023 #oralinvestigationalmedicine #deuruxolitinib #improved #scalphair #regrowth #alopeciaareata ",deuruxolitinib,positive
late-breaking phase 3 thrive-aa2 data at aad 2023 show oral investigational medicine deuruxolitinib significantly improved ... - yahoo finance ,thrive-aa2,positive
late-breaking phase 3 thrive-aa2 data at aad 2023 show oral investigational medicine deuruxolitinib significantly improved ... - yahoo finance ,deuruxolitinib,positive
late-breaking phase 3 THRIVE-AA2 data at aad 2023 show oral investigational medicine deuruxolitinib significantly improved ... - yahoo finance ,THRIVE-AA2,positive
late-breaking phase 3 THRIVE-AA2 data at aad 2023 show oral investigational medicine deuruxolitinib significantly improved ... - yahoo finance ,deuruxolitinib,positive
leo pharma presents late-breaking positive DELTA 1 phase 3  results of delgocitinib cream in adults with moderate to severe chronic hand eczema (che) at aad 2023 ,DELTA 1,positive
leo pharma presents late-breaking positive DELTA 1 phase 3  results of delgocitinib cream in adults with moderate to severe chronic hand eczema (che) at aad 2023 ,delgocitinib,positive
OLYMPIA 2: late-breaking phase iii results demonstrate nemolizumab s significant impact on prurigo nodularis ,OLYMPIA 2,neutral
late-breaking phase 3 data at aad 2023 show oral investigational medicine deuruxolitinib significantly improved ... - yahoo finance ,deuruxolitinib,positive
late-breaking phase 3 data at aad 2023 show oral investigational medicine deuruxolitinib significantly improved scalp hair regrowth in alopecia areata #prnewswire #prnewswire,deuruxolitinib,positive
leo pharma presents late-breaking positive phase 3 results of delgocitinib cream in adults with moderate to severe chronic hand eczema (che) at aad 2023 - -,delgocitinib,positive
#press leo pharma presents positive results in pivotal phase 3 Delta 1 trial for #chronichandeczema patients #aad2023 read more: ,Delta 1,positive
"after initial treatment, opzelura used on an as-needed basis was able to control symptoms of atopic dermatitis and helped patients sleep, according to a poster presented at the annual meeting. ",opzelura,neutral
leo pharma presents late-breaking positive phase 3 results of delgocitinib cream in adults with moderate to severe chronic hand eczema (che) at aad 2023 ,delgocitinib,positive
message from leo pharma via ritzau: leo pharma presents late-breaking positive phase 3 results of delgocitinib cream in adults with moderate to severe chronic hand eczema (che) at aad 2023 ,delgocitinib,positive
aad 2023: late-breaking phase iii results demonstrate nemolizumab s significant impact on prurigo nodularis ,nemolizumab,neutral
dupilumab late-breaking data at aad show significant improvements in signs and symptoms of moderate-to-severe atopic hand and foot dermatitis ,dupilumab,positive
"if you re at #aad2023, attend today's late-breaking research session at 10:10am, where dr. david pariser will present data from the pivotal Sahara trial which evaluated candesant's investigational sweat control patch for primary axillary hyperhidrosis. #excessivesweating ",Sahara,neutral
"adhere trial on efficacy and safety of lebrikizumab in combination with topical corticosteroids in adolescents and adults with moderate-to-severe atopic dermatitis, from jama dermatology, free to read online during #aad2023 ",adhere,neutral
"adhere trial on efficacy and safety of lebrikizumab in combination with topical corticosteroids in adolescents and adults with moderate-to-severe atopic dermatitis, from jama dermatology, free to read online during #aad2023 ",lebrikizumab,neutral
leo pharma presents new adbry (tralokinumab-ldrm) data in adolescent population from ECZTRA 6 and ecztend trials at aad 2023 annual meeting ,ecztend,neutral
leo pharma presents new adbry (tralokinumab-ldrm) data in adolescent population from ECZTRA 6 and ecztend trials at aad 2023 annual meeting ,ECZTRA 6,neutral
message from leo pharma via ritzau: leo pharma presents new adbry (tralokinumab-ldrm) data in adolescent population from ECZTRA 6 and ecztend trials at aad 2023 annual meeting ,ecztend,neutral
message from leo pharma via ritzau: leo pharma presents new adbry (tralokinumab-ldrm) data in adolescent population from ECZTRA 6 and ecztend trials at aad 2023 annual meeting ,ECZTRA 6,neutral
CM-816: NTL (med onc) noted that the main members of the MDT we need to engage with in the community are thoracic surgeons followed by pathologists and interventional pulmonologists to increase our voice in the neoadjuvant lung setting.,CM-816,neutral
CM-816 Need to be able to determine who can be cured by surgery alone. What is the benefit in those patients? Do those that achieve a pCR require and benefit from adjuvant treatment? Should IO be continued in the adjuvant setting? ,CM-816,neutral
CM-816 Need biomarkers for response and relapse to be able to choose patients who will derive the most benefit. Will ctDNA be helpful in this setting? ,CM-816,neutral
CM-816 Surgeons and patients have a need to operate especially in the stage I and II. ,CM-816,neutral
CM-816: A clear role for this regimen is the patient that is not resectable. The potential for downstaging is intriguing. ,CM-816,neutral
"There will be niche patients for this regiment. Post op IO was not included in the CM-816 trial but should have been. Need to know what was given adjuvant, who received XRT, which patients received adjuvant treatment and why. In the >50% PDL1, there is a good possibility of reaching a good EFS. ",CM-816,neutral
"AACR 2022. (CT010) TL at podium presented data on neoadjuvant dual IO Tremelimumab + Durvalumab + chemo in advanced-stage ovarian cancers KGOG3046. TL concluded that neoadjuvant dual IO + chemo increased clonal populations of CD8+, M1/M2 and neutrophils ",KGOG3046,neutral
"AACR 2022. (CT010) TL at podium presented data on neoadjuvant dual IO Tremelimumab + Durvalumab + chemo in advanced-stage ovarian cancers KGOG3046. TL concluded that neoadjuvant dual IO + chemo increased clonal populations of CD8+, M1/M2 and neutrophils ",Tremelimumab,neutral
"AACR 2022. (CT010) TL at podium presented data on neoadjuvant dual IO Tremelimumab + Durvalumab + chemo in advanced-stage ovarian cancers KGOG3046. TL concluded that neoadjuvant dual IO + chemo increased clonal populations of CD8+, M1/M2 and neutrophils ",Durvalumab,neutral
"The AACR 2022 presentation of CM-816 study brought attention to the TL by the pCR rate and impressive HR 0.13. The CM-816 will be definitely a practice change in Early Disease, according to her. ",CM-816,positive
"TL at a large community research site stated that although they do very little surgery at his institution, the EFS data from CM-816 is compelling and he asked for the AACR 2022 and ASCO 2021 data presentations to share with the lung disease oriented group (including surgeons) at his site and other satellite sites. He noted that he would follow-up with their thoughts on the approach. ",CM-816,neutral
"CORE-1: NTL Dr. Uchio responded to question about pharmacodynamic endpoint markers to indicate combinatorial effect on the immune system between the two agents. Speaker noted that this would be the 'holy grail', but if we observe the more clinical/translational, even with PD1 markers we still treating patients without markers available, and they continue to respond. So in the case of patients who are trying to 'save their bladder', it seems treatment without biomarker is justified. ",CORE-1,neutral
"AACR22: NTL Dr. Uchio responded to question about the activity of single agent pembro in this study and how it relates to synergy in the combination. TL noted that he was a part of KN057 trial with pembro single agent in this group, and that the CR rates are comparable across trials, of 41% at any time and at 12 months about 18%. We're not suppose to compare agents between trials of course, but it's at least comparable.",KN057,neutral
"AACR22: NTL Dr. Uchio responded to question about considerations of discontinuation of CORE-1 . He noted that they were still very early on trial, and they hadn't yet had many discontinuations at all, which might be considered surprising since pembro alone has toxicity, and they haven't even seen this level of toxicity yet this early in the trial. ",CORE-1,negative
In the SWOG-MAP S1400I - Patients achieving objective response had higher IL4 and LAMP3 and lower IL6 and IL8 at baseline and week 3 compared to non-responders,SWOG-MAP S1400I,neutral
"In poster of SWOG-MAP S1400I trial there was a correlation of baseline CCL23, CSF-1, IL6 and MUC-16 and shorter survival",SWOG-MAP S1400I,negative
"During the discussant presentation of CODEBREAK-100, the TL stated that unlike EGFR/ALK mutations where there is little overlap of PDL1 therapy, patients with KRAS mutations may have some overlap with PDL1. He does think that there might be some benefit of using IO therapy with KRAS positive patients throughout the treatment paradigm (i.e. early stage, met, etc)",CODEBREAK-100,neutral
"During the CODEBREAK-100 discussant, the TL stated that though KRAS inhibitors has made major advances, the overall effectiveness of KRAS inhibitors may be limited to patient factors, intrinsic biology and complex resistance mechanisms",CODEBREAK-100,neutral
"During the discussant of CODEBREAK-100, the TL asked the question if we can give KRAS safely with IO therapy. He believes we can and sees a potential where we are combining the two agents. For example, he thinks we can give Neo-adj therapy with nivo+chemo followed by surgery and then a KRAS inhibitor or combine KN189 with a KRAS inhibitor. He does not see additional toxicities or other reasons not to combine therapy. He does agree that additional trials are warranted.",CODEBREAK-100,neutral
"During the CODEBREAK-100 discussant presentation the TL stated that he would prioritize PDL1 therapy over KRAS therapy if the patient had high PDL1 therapy, high TMB, high TILs, and wild type STK11/KEAP1.",CODEBREAK-100,neutral
"AACR22: NTL Dr. de Bono emphasized that even though the pretreated mCRPC patients with a high correlation with gL OH-High status correlated with an improved response to talazoparib, the lower N and preselection of patients based on HRR11 could limit the interpretations of evident positive responses.",talazoparib,positive
"AACR22: NTL Dr. de Bono responded to question about the future of talazoparib and plans moving forward, noting that ongoing Ph 3 trials will be reading out in the near future, and that he specifically thinks that this drug will serve a special special purpose in patients with germline BRCA mutations. He thinks we may be able to delay the need for castration therapy and give durable remissions, which has already been noted in a few clinical trials including his own.",talazoparib,neutral
		b. Regional lung TL at AACR22 TLE stated that the stage IB and stage II patients in CM816 didn’t benefit as much as the stage III and that we also saw this in the IMPOWER010 trial. He also commented that the squamous patients didn’t do as well in CM816 and this is quite surprising to him.,CM-816,negative
		b. Regional lung TL at AACR22 TLE stated that the stage IB and stage II patients in CM816 didn’t benefit as much as the stage III and that we also saw this in the IMPOWER010 trial. He also commented that the squamous patients didn’t do as well in CM816 and this is quite surprising to him.,IMpower010,negative
AACR22: Additional questions surrounding the use of adjuvant treatment for patients from CM-816 and would that have additional benefit in patients even those with pCR ,CM-816,neutral
"During the Q/A session, there was a question on what could be driving the differences in EFS based geography for CM-816 trial.  Asia appeared to do better than Europe and NA.  TL highlighted that geography was not a stratification factor and that several factors such as patient selection and type of surgery could play a role.",CM-816,neutral
TL thinks for CM-816 combining IO with is the new SOC and will almost certainly improve OS in early-stage disease.  He added that neoadjuvant IO has a multiple theoretical advantages over adjuvant,CM-816,positive
NTL commented on the lack of guidance on what to do in patients who did not achieve a pCR.  He proposed a trial to be run through ECOG where patients from CM816 regimen will be randomized to nivo/chemo or observation.,CM816,neutral
NTL commented on the lack of guidance on what to do in patients who did not achieve a pCR.  He proposed a trial to be run through ECOG where patients from CM816 regimen will be randomized to nivo/chemo or observation.,nivo,neutral
TL wondered what to do when you find out patients in 816 also carried driver mutation.  Did those patients benefit from CM816?  No data has been shared.,816,neutral
TL wondered what to do when you find out patients in 816 also carried driver mutation.  Did those patients benefit from CM816?  No data has been shared.,CM816,neutral
NTL highlighted the CM-816 EFS benefit in PDL1 positive there was a difference of 25% at years 2 and 3.  NTL highlighted the data was being clinical significant.,CM-816,positive
"Prominent lung TL, I really think that the 816 trial readout was the best of #AACR22 and while pembro was looking good for a while, this really brings nivo back to the forefront of people's minds",816,positive
"Prominent lung TL, I really think that the 816 trial readout was the best of #AACR22 and while pembro was looking good for a while, this really brings nivo back to the forefront of people's minds",pembro,neutral
"Prominent lung TL, I really think that the 816 trial readout was the best of #AACR22 and while pembro was looking good for a while, this really brings nivo back to the forefront of people's minds",nivo,positive
"AACR22: During CT012 presentation of CM816 EFS data, NTL summarized data by noting that there was no increased toxicity or surgical complications with the addition of nivo to chemo and there was a statistically significant and clinically meaningful improvement in EFS with nivo + chemo vs chemo.",CM-816,neutral
"AACR22: During CT012 presentation of CM816 EFS data, NTL summarized data by noting that there was no increased toxicity or surgical complications with the addition of nivo to chemo and there was a statistically significant and clinically meaningful improvement in EFS with nivo + chemo vs chemo.",nivo,positive
TL commented that the cm-816 data showed a very solid HR and was very reassuring. TL mentioned that their current SOC for stage 3 As outside of trials is upfront Sx followed by adjuvant where the EFS would have looked different however (at 5 Yrs. adjuvant there is only 10-12% benefit) so this data so definitely shifting that curve despite still having to mature more.,CM-816,positive
TL commented that EFS is definitely a surrogate for OS at the moment and has to be a surrogate for all neoadjuvant trials like cm-816. It is not practical for it not to be in Neoadjuvant settings as you cannot wait always for OS to come through. It takes a long time and the field changes whilst you wait.,CM-816,neutral
NTL shared that he prefers CM-816 survivals as a metric of success over median OS especially IO therapy because of the MOA of these agents,CM-816,positive
"NTL shared that in CM816, there was an EFS benefit in patients who achieved cPR and those who did not.  This is the first time EFS benefit has been seen from patients with pCR and those without in a phase 3 randomized trial in resectable NSCLC.",CM-816,positive
"Despite OS not reaching significance, NTL highlighted the fact that the difference in OS between patients on Nivochemo at 24 months was 12% and that this is clinically meaningful.",Nivochemo,positive
NTL highlighted that the benefit of EFS in stage 1B and 2A patients did not reach statistical significance but is trending in favor of those treated with Nivochemo.  That is because it is still maturing and it reflects the better prognosis in these patients.,Nivochemo,neutral
"AACR22: During CT012 presentation of the CM816 EFS data, NTL stated that EFS was consistently improved across the majority of subgroups even though it was not powered to detect differences. In regard to EFS by stage, he noted that in patients with stage Ib-II disease these data are not mature enough to see the full benefit yet as these patients have a better prognosis- longer follow up may show additional benefit of nivo + chemo in this subgroup.",CM816,positive
"Neoadjuvant ICI, AACR22: NTL began review of neoadjuvant presentation by showing remarkable benefit of just brief exposure to anti-PD1 on depth of path response with nivo mono (Forde et al) or atezo mono (LCMC3), emphasizing 3-yr OS ~80% similar from LCMC3 and NADIM trials in stage III patients - more than doubling prior expectations, pointing out no adjuvant IO was provided. Very impressive",NADIM,neutral
"CM816, AACR22: NTL from the podium emphasizes that 'thoracic surgery is not good psychotherapy' and we need to change the mindset with surgeons and patients regarding that actual medical urgency vs a 'psychological' urgency to operate immediately in resectable patients",CM816,neutral
