Study_Mentioned,Product_Mentioned,Company_Mentioned,Indication_Mentioned,CAR-T,Pan_Tumor,Non-Social,Adjusted_Date,Tweet_Date,Tweet_Year,Conversation_Id,Tweet_Id,Congress,Therapeutic_Area,Tweet,Mentions,Hashtags,Retweet_Count,Reply_Count,Like_Count,Engagement,Quote_Count,Author_Id,Username,Name,Followers_Count,Following_Count,Profile_Bio,Location,Joined_at,Verified,User_Class,User_Type
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-10 09:07:23,4/10/2022,2022,1513156693743607811,1513156693743607811,AACR,"Oncology, Hematology",Excited for a busy day at #AACR22! https://t.co/O1lcTMeCLU,Nan,AACR22,4,2,218,224,0,24753832,ElizSMcKenna,Elizabeth McKenna,7213,2876,"Executive Editor of Cancer Discovery @CD_AACR, published by @AACR. @BBS_Harvard/@DanaFarber alum. Native New Yorker. Tweets are my own. She/her","Philadelphia, PA",2009-03-16,FALSE,Company / Organization,Publication / Journal
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,0,2022-04-09 19:20:37,4/9/2022,2022,1512948631095201795,1512948631095201795,AACR,"Oncology, Hematology","Thanks to everyone who attended this morning's #AACR22 education session Drug Resistance: Challenges &amp; Prospects, w/ colleagues Sanjay Malhortra &amp; Peter Sorger. So great to see everyone IRL &amp; to have an active Q&amp;A. Here are my slides ??#targetedtherapy https://t.co/q2UsOhudYO",Nan,"AACR22, targetedtherapy",35,4,184,223,8,3028815748,CharlesSawyers,Charles Sawyers,2342,21,,,2015-02-10,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-12 13:07:18,4/12/2022,2022,1513941846833213449,1513941846833213449,AACR,"Oncology, Hematology","Grateful for #NOLA hosting ?@AACR? meeting! ?@JimAllisonPhD? and I enjoyed the exciting scientific presentations, the Riverwalk and delicious Cafe du Monde beignets! #AACR22 https://t.co/k94J0VTgeu","AACR, JimAllisonPhD","NOLA, LCSM",7,0,209,216,1,1503492080949153796,PamSharmaMDPhD,"Padmanee (Pam) Sharma, MD, PhD",3110,43,Immunologist. Oncologist. Mom. Wife to @JimAllisonPhD. Founder @TentAbrahams. Professor @MDAndersonNews.,,2022-03-14,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-09 09:26:53,4/9/2022,2022,1512799212773253122,1512799212773253122,AACR,"Oncology, Hematology","New generation of cancer-preventing vaccines could wipe out tumors before they form
@jocelynkaiser @ScienceMagazine 
https://t.co/UULox1CTLn 
Immune interception of cancers with #vaccines ???? @evilarsan (#LynchSyndrome), @NeehaZaidi @DrLizJaffee (#PancreaticCancer)
#AACR22 https://t.co/PRdkw5yitX","jocelynkaiser, ScienceMagazine, evilarsan, NeehaZaidi, DrLizJaffee","vaccines, LynchSyndrome, PancreaticCancer, AACR22",61,2,152,215,6,166816694,Aiims1742,Anirban Maitra,18502,807,Pancreatic cancer researcher and GI pathologist. Striving to improve the lives of patients with cancer.,"Texas, USA",2010-07-15,TRUE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-11 08:18:51,4/11/2022,2022,1513506868894834693,1513506868894834693,AACR,"Oncology, Hematology",?? All the cancer breakthroughs of the last 5 years in one picture ??Do we go to the moon ? Mars ? No we plan to go to another galaxy to #endcancer ! Anything is possible working together with these amazing teammates @MDAndersonNews @AACR #AACR22 #precisionmedicine #immunotherapy https://t.co/wNbXmWWh58,"MDAndersonNews, AACR","endcancer, AACR22, precisionmedicine, immunotherapy",16,7,191,214,5,3085571050,VivekSubbiah,"Vivek Subbiah, MD",17180,1999,"Oncologist | Associate Prof | Executive Director-Research, MD Anderson Cancer Network | Medical Director, Clinical Center for Targeted Therapy. Tweets = my own.","Houston, TX",2015-03-11,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-09 14:00:37,4/9/2022,2022,1512868100668112899,1512868100668112899,AACR,"Oncology, Hematology","Targeting cancer complexity is going to be tough. I see three options: treat cancer before it becomes complex , discover the molecular roots of complexity, treat different compartments separately (ADC could help). #AACR22",Nan,AACR22,26,9,169,204,3,4061204056,FAndreMD,FabriceAndre,8357,497,"Head of Research Division @GustaveRoussy , EiC @Annals_Oncology , ?? @ogcnice",,2015-10-28,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,0,2022-04-08 16:25:31,4/8/2022,2022,1512542175686500362,1512542175686500362,AACR,"Oncology, Hematology",I have attended scientific meetings since 2016. This is the 1st time I stay at a hotel. Grateful for people like @PamChMD who shared her mattress on the floor with me the 1st time I came to the US and for this @AACR award. Celebrating the little wins ?? #AACR22 #HOFellows #IMG https://t.co/DU5ooiCEFD,"PamChMD, AACR","AACR22, HOFellows, IMG",13,9,182,204,2,919994318336733185,AndreaAnampaG,Andrea Anampa-Guzmán (she/ella),3188,3808,"Research @RoswellPark ?? Medstudent @UNMSM_ with OCD ???? @TheDEIShift, @CPsolvers & @HemOncFellows team • @ASCO Social Media
#MedEd #GlobOnc #SurvOnc #LymSM","Buffalo, NY",2017-10-16,FALSE,Individual,HCP
CM-816,Nivolumab,Bms,Not Tagged,0,0,1,2022-04-11 11:02:51,4/11/2022,2022,1513548138832961545,1513548138832961545,AACR,"Oncology, Hematology","Proud to present at #AACR2022 the results of CheckMate-816 during the clinical trial plenary session! I thank all the investigators, #BMS teams, and my co-authors. The study would not have been possible without you. Results now available at https://t.co/NB4tbpRiTa",Nan,"AACR2022, LCSM",51,3,147,201,1,747509669552349184,nicogirardcurie,Nicolas Girard,1390,32,Lung cancer and rare thoracic tumors specialist.,"Paris, France",2016-06-27,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-08 16:05:32,4/8/2022,2022,1512537150063104001,1512537150063104001,AACR,"Oncology, Hematology","Excited to be heading to New Orleans #AACR22! Please join us at 10am Saturday for our NK Cells session,? with talks on NK engineering, NK engagers, and NK vs CAR T with ?@EricVivier1?, Yvonne Chen, ?and @lab_rezvani? ?@MDAndersonNews?
https://t.co/ADxRuCYN9N","EricVivier1, lab_rezvani, MDAndersonNews",AACR22,21,7,167,195,3,1223726418284118017,lab_rezvani,"Katy Rezvani, M.D., Ph.D",2353,320,PI of the Rezvani lab. Researching NK cells' role in mediating protection against cancer and strategies to enhance their killing function. Views are my own.,"Houston, TX",2020-02-01,FALSE,Individual,HCP
Not Tagged,Not Tagged,Affimed,thoracic,0,0,1,2022-04-10 11:06:34,4/10/2022,2022,1513186687727325191,1513186687727325191,AACR,"Oncology, Hematology","Natural killer cells, primed with an antibody, induce remissions in patients with advanced lymphoma https://t.co/Snu7qonKbK  @MDAndersonNews $AFMD #AACR22",MDAndersonNews,AACR22,36,6,145,187,1,102094857,adamfeuerstein,Adam Feuerstein,105316,683,Senior Writer at @statnews. I am the Night King of biotech. Data Are. Dogs rule. #COYS Said one analyst: The likes of Adam Feuerstein attack viciously.,"Boston, MA",2010-01-05,TRUE,Bot / Aggregator,Media / News
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-09 09:53:23,4/9/2022,2022,1512805880600961026,1512805880600961026,AACR,"Oncology, Hematology","He made it, ladies and gentlemen! ?? After a harrowing travel experience, @CharlesSawyers arrived at #AACR22 in time for his talk on #DrugResistance starting in a few minutes in New Orleans Theater B! https://t.co/7CxbIHoitY",CharlesSawyers,"AACR22, DrugResistance",7,5,172,184,2,27295244,MSKCancerCenter,Memorial Sloan Kettering Cancer Center,94919,1880,"The official account of Memorial Sloan Kettering Cancer Center, the Sloan Kettering Institute, and Louis V. Gerstner, Jr. Graduate School of Biomedical Sciences","New York, New York",2009-03-28,TRUE,Company / Organization,Hospital / Clinic
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-12 07:13:00,4/12/2022,2022,1513852682791886854,1513852682791886854,AACR,"Oncology, Hematology","Attending Ton Schumacher's talk at #AACR2022? Have a look at his @NatureRevCancer Review: #CD8+ T cell states in human cancer: insights from single-cell analysis; https://t.co/d5raT2eOWA
 
@NatResCancer @NKI_nl https://t.co/IvpRZMqvTo","NatureRevCancer, NatResCancer, NKI_nl","AACR2022, LCSM",38,1,144,183,1,407068486,NatureRevCancer,NatureReviewsCancer,57110,953,"Nature Reviews Cancer is a monthly review journal for all researchers working on cancer. We, the editors, highlight the most exciting topics in cancer research.","London, UK",2011-11-07,TRUE,Company / Organization,Publication / Journal
Not Tagged,Ava6000,Avacta,Not Tagged,0,0,1,2022-04-08 01:07:30,4/8/2022,2022,1512311149513035782,1512311149513035782,AACR,"Oncology, Hematology","We will be presenting our poster (abstract number 1815) 'AVA6000, a novel preCISION medicine, targeted to the tumor microenvironment via Fibroblast Activation Protein (FAP) mediated cleavage' on Monday 1:30pm – 5:00pm CT. #AACR22 https://t.co/E8pq0ePRWL",Nan,AACR22,30,1,147,178,8,2279270671,avacta,Avacta,7411,516,"We develop safe and efficacious drugs and high performance diagnostics, based on our proprietary Affimer® and pre|CISION?? platforms.",United Kingdom,2014-01-06,FALSE,Company / Organization,Pharma / Biotech
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-10 14:03:51,4/10/2022,2022,1513231301096136718,1513231301096136718,AACR,"Oncology, Hematology",I really enjoyed putting this collection featuring impactful papers from the last decade together for @CD_AACR’s 10th Anniversary! Come pick up a copy at booth 2101 #AACR22! https://t.co/8Xz3s2zYBi,CD_AACR,AACR22,4,2,165,171,2,24753832,ElizSMcKenna,Elizabeth McKenna,7213,2876,"Executive Editor of Cancer Discovery @CD_AACR, published by @AACR. @BBS_Harvard/@DanaFarber alum. Native New Yorker. Tweets are my own. She/her","Philadelphia, PA",2009-03-16,FALSE,Company / Organization,Publication / Journal
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-12 01:00:49,4/12/2022,2022,1513759022570041348,1513759022570041348,AACR,"Oncology, Hematology",The poster presented at the @AACR annual meeting is now available to download. https://t.co/A8DVCw4DKD #AVCT #AACR22,AACR,"AVCT, LCSM",25,0,144,169,7,2279270671,avacta,Avacta,7423,516,"We develop safe and efficacious drugs and high performance diagnostics, based on our proprietary Affimer® and pre|CISION?? platforms.",United Kingdom,2014-01-06,FALSE,Company / Organization,Pharma / Biotech
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-13 07:24:00,4/13/2022,2022,1514217838894063618,1514217838894063618,AACR,"Oncology, Hematology","Regarding somatic mutations in normal tissues #AACR2022, check out this @NatureRevCancer review by Nobuyuki Kakiuchi &amp; Seishi Ogawa: Clonal expansion in non-cancer tissues, https://t.co/JIfNmVXIMe

@NatResCancer @KyotoU_News @karolinskainst https://t.co/VMHvK8BdDV","NatureRevCancer, NatResCancer, KyotoU_News, karolinskainst",AACR2022,37,0,129,166,1,407068486,NatureRevCancer,NatureReviewsCancer,57159,952,"Nature Reviews Cancer is a monthly review journal for all researchers working on cancer. We, the editors, highlight the most exciting topics in cancer research.","London, UK",2011-11-07,TRUE,Company / Organization,Publication / Journal
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-09 08:18:34,4/9/2022,2022,1512782020476387335,1512782020476387335,AACR,"Oncology, Hematology",What a 10 minutes #Ras session opening lecture by @kevansf at #AACR22! Targeting #KRasG12S with lactone warheads providing a first set of cellularly active &amp; selective probes. Another door in Ras targeting now opened. https://t.co/BbL45HXoT0,kevansf,"Ras, AACR22, KRasG12S",32,1,132,165,5,872868748197339137,HartungIngo,Ingo Hartung,6624,711,"MedChem @Merckgroup; drug discovery, oncology, targeted protein degradation, chemical probes; CDU, Hannover96, literature, traveling; my own views ????????????",Darmstadt & Playa de Canyelles,2017-06-08,FALSE,Company / Organization,Pharma / Biotech
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-09 10:24:00,4/9/2022,2022,1512813585927450636,1512813585927450636,AACR,"Oncology, Hematology","Interested in #DrugResistance #AACR2022? @NatureRevCancer has got your back: Therapy resistance: opportunities created by adaptive responses to targeted therapies in cancer, by @zervanto &amp; colleagues. https://t.co/93av4cJwVj

@natrescancer @UPMCHillmanCC @OHSUNews @harvardmed https://t.co/PvvQp79OSE","NatureRevCancer, zervanto, NatResCancer, UPMCHillmanCC, OHSUNews, harvardmed","DrugResistance, AACR2022",32,1,125,158,2,407068486,NatureRevCancer,NatureReviewsCancer,57009,953,"Nature Reviews Cancer is a monthly review journal for all researchers working on cancer. We, the editors, highlight the most exciting topics in cancer research.","London, UK",2011-11-07,TRUE,Company / Organization,Publication / Journal
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,0,2022-04-08 06:34:39,4/8/2022,2022,1512393482358427654,1512393482358427654,AACR,"Oncology, Hematology",Oh @Delta Please help me get to #NOLA #MSY today - proposed reroute gets me there after scheduled #AACR22 talk. #cancelled #flight #cancerresearch #science #medicine,Delta,"NOLA, MSY, AACR22, cancelled, flight, cancerresearch, science, medicine",9,20,129,158,2,3028815748,CharlesSawyers,Charles Sawyers,2342,21,,,2015-02-10,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-11 12:23:01,4/11/2022,2022,1513568313665806343,1513568313665806343,AACR,"Oncology, Hematology",The big stock winner of #AACR22 is a $4 stock that’s currently up 24 cents. That’s straight up depressing.,Nan,AACR22,5,16,135,156,4,274233761,bradloncar,Brad Loncar,52005,360,"#Biotech investor, index provider, entrepreneur, creator of two Nasdaq-listed exchange traded funds, KC native, @univmiami hurricane.????","Lenexa, KS / Venice, FL",2011-03-30,TRUE,Company / Organization,Finance / Investment
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,0,2022-04-09 10:01:37,4/9/2022,2022,1512807952268369929,1512807952268369929,AACR,"Oncology, Hematology","Getting ready for the #AACR22 Opening Ceremony and Opening Plenary. We have a full slate of awards and other special presentations, followed by a spectacular plenary session. Please join us Sunday morning. https://t.co/g48HQUZ5p0",Nan,AACR22,14,2,140,156,2,900089993393319936,AACR_CEO,"Margaret Foti, PhD, MD (hc)",1784,5,@AACR Chief Executive Officer. Follows and retweets are not endorsements.,,2017-08-22,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-09 10:43:42,4/9/2022,2022,1512818544215351300,1512818544215351300,AACR,"Oncology, Hematology","NK cells may be the holy grail of cellular therapy because of their antitumor activity without GVHD risk, says Dr. Katy Rezvani.

At #AACR22, she shares what’s ahead with making CAR NK therapy even more effective, including their use to treat solid tumors. @lab_rezvani #EndCancer https://t.co/hf2ycLKVIq",lab_rezvani,"AACR22, EndCancer",30,2,115,147,4,14062554,MDAndersonNews,MD Anderson Cancer Center,123648,4324,"The official account of MD Anderson Cancer Center, a leader in cancer care, cancer research and the fight to #EndCancer. Appointments available: 1-877-632-6789.","Houston, TX",2008-02-29,TRUE,Company / Organization,Hospital / Clinic
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-08 22:48:29,4/8/2022,2022,1512638553448230918,1512638553448230918,AACR,"Oncology, Hematology","This evening, the 33 members of the 2022 class of Fellows of the AACR Academy joined the 256 existing #AACRFellows. Together, these distinguished scientists serve as a global brain trust, providing scientific leadership to advance the AACR's mission.
#AACR22 https://t.co/6UdoSbpBAL",Nan,"AACRFellows, AACR22",29,6,112,147,9,14617444,AACR,AACR,98248,1991,"The mission of the American Association for Cancer Research is to prevent and cure cancer through research, education, communication, and collaboration.","Philadelphia, Pennsylvania",2008-05-01,TRUE,Company / Organization,Professional
Not Tagged,Afm13,Affimed,Not Tagged,0,0,1,2022-04-10 11:26:30,4/10/2022,2022,1513191705092231171,1513191705092231171,AACR,"Oncology, Hematology","Congratulations to Dr. Nieto and collaborators on the outstanding clinical data with AFM13-NK cells in 19 patients with relapsed or refractory Hodgkin Lymphoma, reporting 89% ORR, including 10 complete responses. @AACR22 press conference; @MDAndersonNews https://t.co/7FvVoWC1MD",MDAndersonNews,Nan,27,0,117,144,4,1223726418284118017,lab_rezvani,"Katy Rezvani, M.D., Ph.D",2353,320,PI of the Rezvani lab. Researching NK cells' role in mediating protection against cancer and strategies to enhance their killing function. Views are my own.,"Houston, TX",2020-02-01,FALSE,Individual,HCP
Not Tagged,Bnt211,Biontech,Not Tagged,0,0,1,2022-04-12 06:00:47,4/12/2022,2022,1513834509829120002,1513834509829120002,AACR,"Oncology, Hematology","Preliminary Ph1/2 data from our first-in-class CAR-T program BNT211 at #AACR22 presented! BNT211 is the first CAR-T cell therapy candidate to treat solid tumors – if successfully developed, this could mean a medical breakthrough in #cancer therapy. https://t.co/GxgGygvcyG https://t.co/01vRbjwJEd",Nan,"AACR22, cancer",21,3,117,141,7,1060984350995550208,BioNTech_Group,BioNTech SE,77488,172,Our vision is to harness the power of the immune system to develop novel therapies based on groundbreaking R&D with cutting-edge technologies $BNTX,"Mainz, Germany",2018-11-09,TRUE,Company / Organization,Pharma / Biotech
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-08 21:55:13,4/8/2022,2022,1512625149383688196,1512625149383688196,AACR,"Oncology, Hematology",After much deliberation and clinicopathologic correlation we determined that this bone marrow tastes like #CHIP  #AACR22 https://t.co/rKwDmMaYIg,Nan,"CHIP, LCSM",5,9,127,141,0,3076847052,sanamloghavi,"Sanam Loghavi, MD ??? ???? ????",9476,703,Hematopathologist/Molecular Pathologist/Director of ECOG-ACRIN Leukemia Bank @mdandersonnews - Very #Persian - Here 2 learn & teach #hemepath,"Houston, TX",2015-03-13,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-10 10:55:35,4/10/2022,2022,1513183922338865156,1513183922338865156,AACR,"Oncology, Hematology",Clinical trial design in the sun. With the one and only ?@YJanjigianMD?. ?@OncoAlert? #AACR22 https://t.co/kV0Sv8P2y7,"YJanjigianMD, OncoAlert",AACR22,4,1,131,136,0,1112334477261504513,ScaltritiLab,Maurizio Scaltriti,18469,371,"VP Translational Medicine, Early Oncology, AstraZeneca. Former Associate Director of Translational Science at MSKCC. Co-founder of https://t.co/sf253X5XeB.","New York, NY",2019-03-31,FALSE,Company / Organization,Pharma / Biotech
Not Tagged,Not Tagged,Briacell Therapeutics,Not Tagged,0,0,1,2022-04-08 13:59:45,4/8/2022,2022,1512505492936962052,1512505492936962052,AACR,"Oncology, Hematology","$BCTX
12.5 Mil Float
11 Mil with Funds
No share left in market
2 Mil Short 
4 Mil in Naked Short
4 Mil in Open Interest in Options(gamma)
Presenting at $AACR 
Buybacks
Insider Buying
100% Tumor Reduction shown
Thanks to @ripster47 , Up 100% on stock/options and more to come??",ripster47,Nan,14,5,115,134,1,1253153928532934656,bestrader24,BestTrader,26,13,"10 Years Experience Equity Trader
Can Tell Real from Bullshit",New York,2020-04-23,FALSE,Company / Organization,Finance / Investment
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-10 13:41:39,4/10/2022,2022,1513225714794958849,1513225714794958849,AACR,"Oncology, Hematology",CAR-T targeting claudin-6 shows clinical activity in advanced cancers including #testicularCancer. 6/14 with objective response including 1 CR. #AACR22 DCR 86% https://t.co/7FpetYhyvG,Nan,"testicularCancer, LCSM",20,1,108,129,0,1532465924,gulleyj1,@gulleyj1,6779,1362,"Medical Oncologist, Clinical Trialist. @JITCancer Deputy EiC. I specialize in #Immunotherapy and #ProstateCancer. All tweets / comments are my own.","Bethesda, MD",2013-06-20,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-10 18:07:42,4/10/2022,2022,1513292666993356800,1513292666993356800,AACR,"Oncology, Hematology","I was SO honored to share my thoughts today at #AACR22 Plenary on the future of cancer research, and pleased to share a brief update on #ProjectGENIE @AACR #datasharing #healthequity https://t.co/rXNlUhaHZ7",AACR,"AACR22, ProjectGENIE, datasharing, healthequity",13,3,112,128,1,3028815748,CharlesSawyers,Charles Sawyers,2342,21,,,2015-02-10,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-09 04:22:50,4/9/2022,2022,1512722696810999812,1512722696810999812,AACR,"Oncology, Hematology",No AACR or ASCO this year. A little reset with loss of a loved one recently. Small changes but hope to be a better Dad (and husband) to these jokers (Mrs S avoided photo). Time passes quickly; hold those you love. https://t.co/ZF1zEE8haf,Nan,Nan,4,13,110,127,1,933433155083821057,AdamSharpMedOnc,Adam Sharp,2303,2075,"Academic medical oncologist. Interested in biology, prostate cancer and drug development. Husband/Dad/Sport. Views my own and no specific advice/DMs.",London; UK,2017-11-22,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-08 20:33:25,4/8/2022,2022,1512604565581012994,1512604565581012994,AACR,"Oncology, Hematology","At #AACR22, we present our work @MDAndersonNews led by @FilipJankuMD on development of a methylation-based targeted NGS #LiquidBiopsy assay that has the ability to detect cases with CRC at high sensitivity and specificity using plasma #ctDNA @isliquidbiopsy @OncoAlert https://t.co/nGFWywuRSY","MDAndersonNews, FilipJankuMD, isliquidbiopsy, OncoAlert","AACR22, LiquidBiopsy, ctDNA",16,3,108,127,3,191161977,mgoudaMD,Mohamed Alaa Gouda,444,292,"Clinical Oncologist and Cancer Researcher
Personal Profile | Views are Mine","Houston, TX",2010-09-15,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-08 07:51:05,4/8/2022,2022,1512412715913986054,1512412715913986054,AACR,"Oncology, Hematology",??We have our work cut out for the next decade in Cancer Research ??Hallmarks of Cancer: New Dimensions @CD_AACR #AACR22 @AACR  https://t.co/oMtSTeubhF https://t.co/MrkPx1gKnk,CD_AACR,AACR22,28,0,98,126,1,3085571050,VivekSubbiah,"Vivek Subbiah, MD",17137,1998,"Oncologist | Associate Prof | Executive Director-Research, MD Anderson Cancer Network | Medical Director, Clinical Center for Targeted Therapy. Tweets = my own.","Houston, TX",2015-03-11,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-11 17:22:09,4/11/2022,2022,1513643592153288709,1513643592153288709,AACR,"Oncology, Hematology",Olasubomi J. Omoleye from the lab of @folopade (pictured) presented a poster that detailed the evaluation and validation of several mammography-based breast cancer risk models in a diverse patient cohort. #AACR22 https://t.co/aRHJsGYujw,folopade,AACR22,28,3,92,123,4,150794946,UCCancerCenter,UChicagoCancerCenter,8603,1444,"Official Twitter of the NCI-designated University of Chicago Medicine Comprehensive Cancer Center, Chicago, IL USA. #WeAreNCIDesignated #NothingWillStopUs","Chicago, IL",2010-06-01,FALSE,Company / Organization,Hospital / Clinic
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,0,2022-04-08 19:59:45,4/8/2022,2022,1512596092751433729,1512596092751433729,AACR,"Oncology, Hematology","Phew! Made it to #NOLA thanks to the magic of Keith Baker @tzelltravel ?? Seeing how many people were similarly impacted “due to weather,” I hope to have an audience Saturday &amp; Sunday #AACR22 talks #gratitude ??",TzellTravel,"NOLA, AACR22, gratitude",0,5,117,122,0,3028815748,CharlesSawyers,Charles Sawyers,2342,21,,,2015-02-10,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-10 07:55:51,4/10/2022,2022,1513138690024955906,1513138690024955906,AACR,"Oncology, Hematology",Backstage with @AACRPres Dave Tuveson at the #AACR22 Opening Ceremony. Looking forward to kicking off this spectacular meeting! https://t.co/mkKp0sqfQu,AACRPres,AACR22,6,2,111,119,0,900089993393319936,AACR_CEO,"Margaret Foti, PhD, MD (hc)",1784,5,@AACR Chief Executive Officer. Follows and retweets are not endorsements.,,2017-08-22,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-09 11:30:03,4/9/2022,2022,1512830210248482816,1512830210248482816,AACR,"Oncology, Hematology",Great talk from Yvonne Y. Chen on CAR-T vs CAR-NK at #AACR22. Check out this related #JITC review paper from Australia: Understanding T cell phenotype for the design of effective chimeric antigen receptor T cell therapies https://t.co/6mKKHWrXm1 https://t.co/6B82S4M5LG,Nan,"AACR22, LCSM",20,0,99,119,0,1150769339466952705,jitcancer,Journal for ImmunoTherapy of Cancer,4485,1357,"#JITC is the official journal of @SITCancer, covering all aspects of tumor immunology and cancer immunotherapy. Editor-in-Chief: Pedro J. Romero, MD.","Milwaukee, WI",2019-07-15,FALSE,Company / Organization,Publication / Journal
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-13 09:00:03,4/13/2022,2022,1514242010835693569,1514242010835693569,AACR,"Oncology, Hematology",At the final #AACR22 Plenary Session on Tumor Evolution and Therapeutic Resistance? Don't miss the @CD_AACR review by speaker @CharlesSwanton &amp; colleagues @TheCrick: Tracking #CancerEvolution through the Disease Course https://t.co/9wFZoLpG46 https://t.co/J7meacXEVS,CD_AACR,"AACR22, CancerEvolution",24,0,94,118,2,24753832,ElizSMcKenna,Elizabeth McKenna,7369,2887,"Executive Editor of Cancer Discovery @CD_AACR, published by @AACR. @BBS_Harvard/@DanaFarber alum. Native New Yorker. Tweets are my own. She/her","Philadelphia, PA",2009-03-16,FALSE,Company / Organization,Publication / Journal
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-09 11:00:00,4/9/2022,2022,1512822647750541315,1512822647750541315,AACR,"Oncology, Hematology",If you're watching the #AACR22  session on Drug Resistance Challenges/Prospects - don't miss the review in @CD_AACR by speaker @sorger_peter: Independent Drug Action in Combination Therapy: Implications for Precision Oncology @PlanaDeborah @ac_palmer https://t.co/vLi5bjAO14 https://t.co/b1rOgIJ6GB,CD_AACR,AACR22,23,1,94,118,2,24753832,ElizSMcKenna,Elizabeth McKenna,7213,2876,"Executive Editor of Cancer Discovery @CD_AACR, published by @AACR. @BBS_Harvard/@DanaFarber alum. Native New Yorker. Tweets are my own. She/her","Philadelphia, PA",2009-03-16,FALSE,Company / Organization,Publication / Journal
CM-816,Nivolumab,Bms,Not Tagged,0,0,1,2022-04-11 10:21:31,4/11/2022,2022,1513537738489970691,1513537738489970691,AACR,"Oncology, Hematology","Here it is folks! #LCSM #AACR22

https://t.co/eOITuviuy3",Nan,"LCSM, LCSM",21,5,91,117,6,295292758,DoctorJSpicer,Jonathan Spicer MD PhD,1996,1116,Medical Director of the McGill Thoracic Oncology Program; Chest surgeon; Neutrophil biologist; Cancer immunologist; Aspiring farmer,"Montréal, Québec",2011-05-08,FALSE,Individual,HCP
Not Tagged,Not Tagged,Not Tagged,Not Tagged,0,0,1,2022-04-13 08:00:01,4/13/2022,2022,1514226904902955013,1514226904902955013,AACR,"Oncology, Hematology",Attending the final #AACR22 Plenary Session on Tumor Evolution and Therapeutic Resistance? Don't miss this @CD_AACR review: Overcoming Resistance to Tumor-Targeted &amp; Immune-Targeted Therapies @mihaela_aldea @FAndreMD @barlesi @jsoriamd @GustaveRoussy https://t.co/RaQrEe2C5T https://t.co/0fj8Ad3rWX,CD_AACR,AACR22,31,0,85,116,0,24753832,ElizSMcKenna,Elizabeth McKenna,7369,2887,"Executive Editor of Cancer Discovery @CD_AACR, published by @AACR. @BBS_Harvard/@DanaFarber alum. Native New Yorker. Tweets are my own. She/her","Philadelphia, PA",2009-03-16,FALSE,Company / Organization,Publication / Journal
